"2018-03-08 10:08:54 [restartedMain] INFO  com.mpc.demo.Application - Starting Application on Medisys-301 with PID 13556 (E:\sts_workspace\spring_security_workspace\spring-security-v1.0.3\target\classes started by medisys in E:\sts_workspace\spring_security_workspace\spring-security-v1.0.3)
""2018-03-08 10:08:54 [restartedMain] INFO  com.mpc.demo.Application - No active profile set, falling back to default profiles: default
""2018-03-08 10:08:55 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5090dd69: startup date [Thu Mar 08 10:08:55 BDT 2018]; root of context hierarchy
""2018-03-08 10:08:58 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e8ece565] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-03-08 10:08:59 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 9010 (http)
""2018-03-08 10:08:59 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat
""2018-03-08 10:08:59 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.6
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2018-03-08 10:08:59 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
